station_id,station_group_id,name_kanji,name_romaji,line_id,lon,lat,name_kana
10625,8920,森山,moriyama,561,130.113402,32.834969,もりやま
10626,8921,釜ノ鼻,kamahana,561,130.135624,32.833992,かまはな
10627,8922,諫早東高校,isahayahigashikoukou,561,130.149098,32.823084,いさはやひがしこうこう
10628,8923,愛野,aino,561,130.155855,32.818824,あいの
10629,8924,阿母崎,ahahasaki,561,130.170196,32.830073,あははさき
10630,8925,吾妻,azuma,561,130.189911,32.840305,あずま
10631,8926,古部,kobu,561,130.213024,32.856312,こぶ
10632,8927,大正,taishou,561,130.225482,32.860303,たいしょう
10633,8928,西郷,saigou,561,130.243814,32.872801,さいごう
10634,8929,神代,kamiyo,561,130.269728,32.871516,かみよ
10635,8930,多比良,taira,561,130.308528,32.872061,たいら
10636,8931,有明湯江,ariakeyue,561,130.328246,32.858249,ありあけゆえ
10637,8932,大三東,oomisaki,561,130.344659,32.843734,おおみさき
10638,8933,松尾,matsuo,561,130.347714,32.834176,まつお
10639,8934,三会,mie,561,130.35713,32.814936,みえ
10640,8935,島原,shimabara,561,130.370616,32.790489,しまばら
10641,8936,霊丘公園体育館,reiokakouentaiikukan,561,130.374233,32.782198,れいおかこうえんたいいくかん
10642,8937,島原船津,shimabarafunatsu,561,130.37557,32.775768,しまばらふなつ
10643,8938,島原港,shimabarakou,561,130.370151,32.768507,しまばらこう
10644,8939,秩父が浦,chichibuura,561,130.368843,32.759989,ちちぶうら
10645,8940,安徳,antoku,561,130.367865,32.75067,あんとく
10646,8941,瀬野深江,senofukae,561,130.361016,32.732606,せのふかえ
10647,8942,深江,fukae,561,130.348193,32.718407,ふかえ
10648,8943,布津新田,futsunitta,561,130.348254,32.699764,ふつにった
10649,8944,布津,futsu,561,130.352927,32.687148,ふつ
10650,8945,堂崎,douzaki,561,130.332702,32.670877,どうざき
10651,8946,蒲河,kamaga,561,130.320178,32.665983,かまが
10652,8947,有家,arie,561,130.305116,32.664071,ありえ
10653,8948,西有家,nishiarie,561,130.294114,32.657207,にしありえ
10654,8949,龍石,ryuuseki,561,130.271919,32.654244,りゅうせき
10655,8950,北有馬,kitaarima,561,130.25304,32.655074,きたありま
10656,8951,常光寺前,joukoujimae,561,130.249782,32.649244,じょうこうじまえ
10657,8952,浦田観音,uratamine,561,130.252268,32.639745,うらたみね
10658,8953,原城,haraki,561,130.249436,32.632879,はらき
10659,8954,有馬吉川,arimayoshikawa,561,130.230487,32.618296,ありまよしかわ
10660,8955,東大屋,toudaiya,561,130.198648,32.611296,とうだいや
10661,8956,口之津,kuchinotsu,561,130.185658,32.611618,くちのつ
10662,8957,白浜海水浴場前,shirahamakaisuiyokujoumae,561,130.175447,32.611157,しらはまかいすいよくじょうまえ
10663,8958,加津佐,kazusa,561,130.166728,32.623366,かづさ
10664,8959,赤迫,akasako,562,129.857948,32.793732,あかさこ
10665,8960,住吉,sumiyoshi,562,129.859836,32.792073,すみよし
10666,4129,昭和町通,shouwachoutsuu,562,129.860694,32.79063,しょうわちょうつう
10667,8961,千歳町,chitosechou,562,129.860952,32.78962,ちとせちょう
10668,8962,若葉町,wakabamachi,562,129.861596,32.787744,わかばまち
10669,8963,長崎大学,nagasakidaigaku,562,129.862282,32.785759,ながさきだいがく
10670,8964,岩屋橋,iwayabashi,562,129.862282,32.781935,いわやばし
10671,8965,浦上車庫,uragamishako,562,129.861381,32.77968,うらがみしゃこ
10672,8966,大橋,oohashi,562,129.861467,32.777713,おおはし
10673,8967,平和公園,heiwakouen,562,129.862132,32.773437,へいわこうえん
10674,8968,原爆資料館,genbakushiryoukan,562,129.863784,32.770551,げんばくしりょうかん
10675,8969,大学病院,daigakubyouin,562,129.864171,32.769017,だいがくびょういん
10676,4130,浦上駅前,uragamiekimae,562,129.864171,32.765481,うらがみえきまえ
10677,8970,茂里町,morimachi,562,129.864557,32.763965,もりまち
10678,8971,銭座町,zenzamachi,562,129.865801,32.761475,ぜんざまち
10679,8972,宝町,takarachou,562,129.868913,32.75783,たからちょう
10680,8973,八千代町,yachiyochou,562,129.870436,32.754979,やちよちょう
10681,4131,長崎駅前,nagasakiekimae,562,129.871874,32.75238,ながさきえきまえ
10682,8974,五島町,gotouchou,562,129.872217,32.749411,ごとうちょう
10683,8975,大波止,daihato,562,129.872046,32.745116,だいはと
10684,8976,出島,dejima,562,129.871681,32.743871,でじま
10685,8977,新地中華街,shinchichuukagai,562,129.874942,32.742869,しんちちゅうかがい
10686,8978,西浜町,nishinohamamachi,562,129.876015,32.743735,にしのはままち
10687,8979,観光通,kankoutsuu,562,129.877775,32.743483,かんこうつう
10688,8980,思案橋,shianbashi,562,129.880264,32.742725,しあんばし
10689,8981,崇福寺,soufukuji,562,129.882109,32.741425,そうふくじ
10690,8982,蛍茶屋,hotarujaya,563,129.894254,32.751135,ほたるぢゃや
10691,8983,新中川町,shinnakagawamachi,563,129.890435,32.752362,しんなかがわまち
10692,8984,新大工町,shindaikuchou,563,129.886701,32.75238,しんだいくちょう
10693,8985,諏訪神社,suwajinja,563,129.884083,32.752596,すわじんじゃ
10694,8986,市役所,shiyakusho,563,129.88065,32.74942,しやくしょ
10695,8987,桜町,sakuramachi,563,129.8755,32.750792,さくらまち
10696,4131,長崎駅前,nagasakiekimae,563,129.871874,32.75238,ながさきえきまえ
10697,8973,八千代町,yachiyochou,563,129.870436,32.754979,やちよちょう
10698,8972,宝町,takarachou,563,129.868913,32.75783,たからちょう
10699,8971,銭座町,zenzamachi,563,129.865801,32.761475,ぜんざまち
10700,8970,茂里町,morimachi,563,129.864557,32.763965,もりまち
10701,4130,浦上駅前,uragamiekimae,563,129.864171,32.765481,うらがみえきまえ
10702,8969,大学病院,daigakubyouin,563,129.864171,32.769017,だいがくびょういん
10703,8968,原爆資料館,genbakushiryoukan,563,129.863784,32.770551,げんばくしりょうかん
10704,8967,平和公園,heiwakouen,563,129.862132,32.773437,へいわこうえん
10705,8966,大橋,oohashi,563,129.861467,32.777713,おおはし
10706,8965,浦上車庫,uragamishako,563,129.861381,32.77968,うらがみしゃこ
10707,8964,岩屋橋,iwayabashi,563,129.862282,32.781935,いわやばし
10708,8963,長崎大学,nagasakidaigaku,563,129.862282,32.785759,ながさきだいがく
10709,8962,若葉町,wakabamachi,563,129.861596,32.787744,わかばまち
10710,8961,千歳町,chitosechou,563,129.860952,32.78962,ちとせちょう
10711,4129,昭和町通,shouwachoutsuu,563,129.860694,32.79063,しょうわちょうつう
10712,8960,住吉,sumiyoshi,563,129.859836,32.792073,すみよし
10713,8959,赤迫,akasako,563,129.857948,32.793732,あかさこ
10714,8982,蛍茶屋,hotarujaya,564,129.894254,32.751135,ほたるぢゃや
10715,8983,新中川町,shinnakagawamachi,564,129.890435,32.752362,しんなかがわまち
10716,8984,新大工町,shindaikuchou,564,129.886701,32.75238,しんだいくちょう
10717,8985,諏訪神社,suwajinja,564,129.884083,32.752596,すわじんじゃ
10718,8986,市役所,shiyakusho,564,129.88065,32.74942,しやくしょ
10719,8988,めがね橋,bashi,564,129.878204,32.746785,ばし
10720,8989,浜町アーケード,hamachouアーケード,564,129.8768124,32.74476168,はまちょうアーケード
10721,8979,観光通,kankoutsuu,564,129.877775,32.743483,かんこうつう
10722,8980,思案橋,shianbashi,564,129.880264,32.742725,しあんばし
